class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_01001022,,,A lake which has formed as the result of processes that are not or are only minimally driven by human activity.,This class is to be filled by inference.,,,,,,,natural lake,ENVO_00000020
ENVO_01001029,Animal distal gut,,An environmental system which has its properties and dynamics determined by feces.,,,,,,,"envoEmpo, envoMeo, envoOmics",fecal environment,ENVO_01000998
ENVO_01001030,Animal secretion,,An environmental system which has its properties and dynamics determined by a bodily secretion of a metazoan.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a metazoan secretion,ENVO_2100000
ENVO_01001031,Plant secretion,,An environmental system which has its properties and dynamics determined by a substance produced by a plant.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a plant substance,ENVO_01000254
ENVO_01001032,Plant surface,,An environmental system which has its properties and dynamics determined by a biofilm on the surface of a plant.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a biofilm on a plant surface,"ENVO_01001110, ENVO_01000998"
ENVO_01001033,Animal proximal gut,,An environmental system which has its properties and dynamics determined by a digestive tract.,,,,,,,"envoEmpo, envoMeo, envoOmics",digestive tract environment,ENVO_2100000
ENVO_01001034,Animal surface,,An environmental system which has its properties and dynamics determined by a biofilm on the surface of a animal.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a biofilm on an animal surface,"ENVO_01001110, ENVO_01000998"
ENVO_01001035,Fungus surface,,An environmental system which has its properties and dynamics determined by a biofilm on the surface of a fungus.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a biofilm on a fungal surface,"ENVO_01001110, ENVO_01000998"
ENVO_01001040,Saline,"The thresholds for ""significant"" concentrations of salts vary widely and thus no committment is made in this class. Subclasses with more explicit thresholds can be made upon request.",An environment which is determined by materials which bear significant concentrations of salts.,,,,,,,envoEmpo,saline environment,"ENVO_01000314, ENVO_01000998"
ENVO_01001041,Fungus,,An environmental system determined by a fungal structure.,,fungus environment,fungus-associated environment,,,,"envoEmpo, envoMeo, envoOmics",fungi-associated environment,"ENVO_2100000, ENVO_01001000"
ENVO_01001042,Negative,"This term can be understood as a negative experimental control primarily composed of sterile water. The quantity of sterile water used may be contaminated; to express pure sterile water, please use http://purl.obolibrary.org/obo/ENVO_00005791",An environmental system which has its properties and dynamics determined by sterile water.,,,,,,,"envoEmpo, envoOmics",sterile water environment,ENVO_01000317
ENVO_01001043,Hypersaline (saline),,An environmental system which has its properties and dynamics determined by hypersaline water.,,,,,,,"envoEmpo, envoOmics, envoPolar",hypersaline water environment,ENVO_01000307
ENVO_01001044,Soil (non-saline),,An environmental system which has its properties and dynamics determined by soil.,,,,,,,"envoEmpo, envoOmics",soil environment,"ENVO_01000813, ENVO_01000997, ENVO_01000998"
ENVO_01001045,,,A region which overlaps parts of one or more planetary structural layers which are located below an oceanic plate.,We may have to soften dependence on planetary structural layers as some planets haven't differentiated by density.,,,,,,,oceanic subsurface zone,ENVO_01000941
ENVO_01001046,,,An environmental system which has its properties and dynamics determined by the subsurface zone of a planet.,,,,,,,"envoEmpo, envoMeo, envoOmics",planetary subsurface environment,ENVO_01000254
ENVO_01001047,Subsurface (non-saline),,An environmental system which has its properties and dynamics determined by those parts of a planetary subsurface zone which are not saline.,,,,,,,"envoEmpo, envoMeo, envoOmics",non-saline planetary subsurface environment,ENVO_01001046
ENVO_01001048,,,An environmental system which has its properties and dynamics determined by sediment.,,,,,,,"envoEmpo, envoOmics",sediment environment,"ENVO_01000997, ENVO_01000998"
ENVO_01001049,Sediment (non-saline),,An environmental system which has its properties and dynamics determined by sediment permeated by non-saline water.,,,,,,,"envoEmpo, envoOmics",non-saline sediment environment,ENVO_01001048
ENVO_01001050,Sediment (saline),,An environmental system which has its properties and dynamics determined by sediment permeated by saline water.,,,,,,,"envoEmpo, envoOmics",saline sediment environment,ENVO_01001048
ENVO_01001051,Surface (non-saline),,An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to non-saline materials.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a biofilm on a non-saline surface,"ENVO_01001110, ENVO_01000998"
ENVO_01001052,,,An environmental system which has its properties and dynamics determined by an aerosol.,,,,,,,"envoEmpo, envoOmics",aerosol environment,"ENVO_01000997, ENVO_01000998"
ENVO_01001053,Aerosol (saline),,An environmental system which has its properties and dynamics determined by a saline aerosol.,,,,,,,"envoEmpo, envoOmics",saline aerosol environment,"ENVO_01001040, ENVO_01001052"
ENVO_01001054,Aerosol (non-saline),,An environmental system which has its properties and dynamics determined by an aerosol with a low concentration of dissolved solutes.,,,,,,,"envoEmpo, envoOmics",non-saline aerosol environment,ENVO_01001052
ENVO_01001055,Animal corpus,,"An environmental system determined by part of a living or dead animal, or a whole small animal.",,,,,,,"envoEmpo, envoMeo, envoOmics",environment associated with an animal part or small animal,ENVO_01001110
ENVO_01001056,Surface (saline),,An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to saline materials.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment determined by a biofilm on a saline surface,"ENVO_01001110, ENVO_01000998"
ENVO_01001057,Plant corpus,,"An environmental system determined by part of a living or dead plant, or a whole small plant.",,,,,,,"envoEmpo, envoMeo, envoOmics",environment associated with a plant part or small plant,ENVO_01001110
ENVO_01001058,Fungus corpus,,An environmental system determined by part of a living or dead fungus.,,,,,,,"envoEmpo, envoMeo, envoOmics",environment associated with a fungal tissue,"ENVO_01001110, ENVO_2100000"
ENVO_01001061,,,A lake which is contained within a caldera.,,,,,,,,caldera lake,ENVO_00000052
ENVO_01001062,,Note that this class does not commit to what kind of crater contains the lake in question. Please see the subclasses for more specificity.,A lake contained within a crater.,,,,,,,,crater lake,ENVO_00000020
ENVO_01001065,,,A lake which is contained in a crater formed by a meteorite impact.,,,"meteorite crater lake, meteorite impact crater lake",,,,,meteorite lake,ENVO_01001070
ENVO_01001070,,,A lake which is contained in a crater formed by an impact event.,,,,,,,,impact crater lake,ENVO_01001062
ENVO_01001071,,,A crater which was formed as a result of the impact of one astronomical body on another.,,,,,,,,impact crater,ENVO_00000514
ENVO_01001072,,,A lake which is primarily composed of anoxic water.,,,anaerobic lake,,,,,anoxic lake,ENVO_00000020
ENVO_01001073,,,A lake which has a hypolimnion composed primarily of anoxic water.,,,,,anoxic lake,,,lake with an anoxic hypolimnion,ENVO_00000020
ENVO_01001074,,,A lake which has a hypolimnion composed primarily of hypoxic water.,,,,,anoxic lake,,,lake with a hypoxic hypolimnion,ENVO_00000020
ENVO_01001075,,,A lake which is primarily composed of hypoxic water.,,,oxygen-poor lake,,oxygen-depleted lake,,,hypoxic lake,ENVO_00000020
ENVO_01001076,,,A lake which is primarily composed of oxic water.,,,oxygenated lake,,aerobic lake,,,oxic lake,ENVO_00000020
ENVO_01001077,,,A lake which has a hypolimnion composed primarily of oxic water.,,,,,"aerobic lake, oxic lake",,,lake with an oxic hypolimnion,ENVO_00000020
ENVO_01001092,,,A lake which is contained in a depression formed by the deformation and resulting lateral and vertical movements of a lithosphere.,,,,,,,,tectonic lake,ENVO_00000020
ENVO_01001097,,,A part of a lithosphere which is separated by other such parts by geographic faults or similar geomorphological discontinuities.,,,,,,,,tectonic plate,ENVO_00000191
ENVO_01001098,,,"A geomorphological feature which is formed where two or more tectonic plates move towards, away from, or along one another, resulting in deformation of the lithosphere.",,,,,,,,tectonic plate boundary,ENVO_01000408
ENVO_01001099,,,"A geomorphological feature which is formed where two or more tectonic plates are actively moving away from one another, resulting in deformation of the lithosphere that forms rifts or ridges.",,,"constructive boundary, constructive plate boundary, divergent boundary, extensional boundary, extensional plate boundary",,,,,divergent plate boundary,ENVO_01001098
ENVO_01001100,,,"A geomorphological feature which is formed where two or more tectonic plates are actively moving towards one another, resulting in deformation of the lithosphere that forces one plate below the other where it melts in the mantle.",,,"convergent boundary, destructive boundary, destructive plate boundary",,,,,convergent plate boundary,ENVO_01001098
ENVO_01001101,,,A geomorphological feature which is formed where two or more tectonic plates are actively moving along one another in either a sinistral (left lateral) or dextral (right lateral) horizontal direction.,This class overlaps with the semantics of geographic faults and further work needs to be done to disentangle them.,,transform boundary,,transform fault,,,transform plate boundary,ENVO_01001098
ENVO_01001104,,,A compound astronomical body part in which extensional tectonic processes occur and where the lithosphere is being pulled apart.,,,rift,,,,envoPolar,rift zone,ENVO_01001784
ENVO_01001105,,,"A lake which fills a basin that has been dammed by wind-blown sand,  formed between sand dunes oriented by winds; or formed by wind action under previously arid paleoenvironments.",,,,,,,,aeolian lake,ENVO_00000020
ENVO_01001106,,,A lake which fills a depression where drainage is blocked by solid material transported by a landslide.,,,,,,,,landslide lake,ENVO_00000020
ENVO_01001107,,,A lake which fills a depression where drainage is blocked by solid material transported by a rockslide.,,,,,,,,rockslide lake,ENVO_01001106
ENVO_01001109,,"These vortices are responsible for such phenomena as the ""singing"" of suspended telephone or power lines, and the vibration of a car antenna at certain speeds.",A succession of swirling vortices caused by the unsteady separation of flow of a fluid around one or more blunt bodies.,,,"Kármán vortex street, von Kármán vortex street",,,,,Karman vortex street,ENVO_01001479
ENVO_01001110,,"This class will be primarily filled by inference, any environmental system which necessarily includes living parts should be autoclassified here.",An environmental system which includes both living and non-living components.,,,,,,,,ecosystem,ENVO_01000254
ENVO_01001111,,,"A channel which was formed as a result of an annelid burrowing through soil, where organic residues lining the burrow have subsequently initiated fossilization.",,,,,,,,fossil worm burrow,ENVO_03000117
ENVO_01001114,,,"A physical space, which may or may not be in a construction, which is used to store animal feed for agricultural purposes.","This should be moved to ""zone"", and inference should be used to link to agricultural feature.",,,,feed storage,,,feed storage space,ENVO_00000077
ENVO_01001115,,,"A physical space, which may or may not be in a construction, which is used to store animal manure for agricultural purposes.",,,,,manure storage,,,manure storage space,ENVO_00000077
ENVO_01001120,,,A product which is composed primarily of animal manure that has been heat treated and packaged as a product for commercial or consumer use.,,,,,,,,animal manure product,ENVO_00003074
ENVO_01001159,,,A cloud which is cirriform and is formed by condensation events centred on an aircraft's contrail.,,,,,,,envoAtmo,cirrus homogenitus cloud,"ENVO_01001160, ENVO_01001415"
ENVO_01001160,,"When present in aggregates, individual cirrus clouds are organised in patches or narrow bands. When organised in sheets of fibres they can give a silky sheen. When well-illuminated by sunlight (excluding during sunrise and sunset) cirrus clouds appear white or mostly white. Absence of any precipitation.","A cloud which 1) has been shaped into detached fibrous filaments, 2) is almost exclusively composed of ice crystals, 3) is located in the high level of the atmosphere (high étage).",Add more PATO qualities once they have been added to PATO.,,"(Eis)-Federwolke, Cirruswolke, Zirruswolke",,,,"envoAtmo, envoCloudAtlas",cirrus cloud,"ENVO_01000293, ENVO_01001428, ENVO_01001010"
ENVO_01001162,,Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas. Previous anthropogenic impacts (e.g. by early human settlement) may be present in these sites; these should be reversible by either natural processes or brief restorative interventions. Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas.,"An IUCN protected area in which human visitation, use and impacts are strictly controlled and limited to ensure protection and conservation of natural biodiversity and/or geodiversity, natural ecosystem assemblages and processes, and any associated cultural and spiritual values.",,strict nature reserve,,,,,,IUCN strict nature reserve,ENVO_01001169
ENVO_01001163,,"Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas. These areas exclude permanent built infrastructure, activities by extractive industries, commercial or intensive agriculture, extensive access by motor vehicles, unregulated visitation supported by any infrastructure, as well as other activities that may lead to significant ecosystem perturbations.","An IUCN protected area which 1) is dominated by natural ecosystems, 2) is sufficiently large to allow those ecosystems to function and develop without local anthropogenic perturbation, 3) is  managed to prevent perturbations by proximate or local anthropisation, including those caused by local and/or indigenous human communities or human visitation.",,,wilderness area,,,,,IUCN wilderness area,ENVO_01001169
ENVO_01001165,,"Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas. Further, note that the use of ""natural"" in the IUCN definition may allow for some anthropisation such as the presence of cave dwellings or spiritual sites. These areas tend to be smaller than other IUCN protected areas and are sites of frequent human visitation and high tourism value. They often serve to conserve natural heritage in land- or seascapes which have otherwise been anthropised. Frequently, these areas have high spiritual and cultural value as well as bio- and geodiversity value. It is not clear what would happen to the status of a IUCN Category III protected area if its key natural monument dies or degrades. IUCN acknowledges that larger ecosystem areas may need protection or management to sustain the area given Category III protection.",An IUCN protected area which includes a primarily natural formation designated to be of high natural heritage value and the environmental systems which it determines (e.g. the spray zone of a waterfall monument).,,,,,natural monument,,,IUCN natural monument or feature,ENVO_01001169
ENVO_01001166,,"Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas. Note that many Category IV sites require frequent interventions to maintain habitats for the species conserved, particularly as many of these areas are ecosystem fragments which are unable to sustain themselves. Additionally, many are used for public outreach, education, and recreation, implying regular human visitation. What qualifies a species as important is variable and often ill-defined.","An IUCN protected area within which the habitats of or ecosystems used by floral and faunal species deemed to be of international, national, or local importance are maintained, conserved, or restored such that their composition and functional integrity are maintained.","Clarify what is encompassed by floral and faunal. Do microbial and fungal species (e.g. of importance to many marine systems) fall within these categories? Further, create subclasses for habitat and species conservation separately.",habitat management area,,,species management area,,,IUCN habitat/species management area,ENVO_01001169
ENVO_01001167,,"Often, ecosystem fragments are unable to sustain themselves without human intervention and management as they are not large enough to perform self-sustaining functions (e.g. nutrient recycling) or hold sufficient ecological resources such as genetic diversity of populations.","An ecosystem which has been causally isolated from a larger ecosystem within which it was previously embedded, such that the direct exchange of materials, resources, and energy between these systems is severely or entirely curtailed.",,,,,,,,ecosystem fragment,ENVO_01001110
ENVO_01001169,IUCN protected area,The international recognition of an area as an IUCN protected area generally depends on the assigning government or authority reporting its assignments to the United Nations Environment Programme World Conservation Monitoring Centre.,"A protected area in which management objectives have been declared, by a local governing body or authority, to adhere to the guidelines set forth by the International Union for the Conservation of Nature (IUCN).",Axiomatise with SDGIO classes once available: https://github.com/SDG-InterfaceOntology/sdgio/issues/114,,,,,,,area protected according to IUCN guidelines,ENVO_00000358
ENVO_01001172,,"Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas. The IUCN note that the integrity of balanced natural and anthropogenic ecosystems may be compromised in some Category V areas, as long as ""there is reasonable hope of restoring that integrity"".","An IUCN protected area which 1) includes entities that have been deemed to be of high scenic quality, 2) is composed of a historically stable assemblage of causally interlinked natural and anthropised ecosystems that provides cultural ecosystem services, and 3) hosts traditional and sustainable human activities.",,,,,,,,IUCN protected landscape/seascape,ENVO_01001169
ENVO_01001173,,,A fiat object part which contains entities of high spiritual or cultural significance to one or more human groups.,,,,,,,,sacred site,BFO_0000024
ENVO_01001176,,,An environment which has its properties and composition largely determined by the presence of a metazoan which lacks a vetebral column and which has a habitat that is found in an aquatic environmental system.,,,,,,,"envoMeo, envoOmics",environment associated with an aquatic invertebrate,"ENVO_01001002, ENVO_01001055"
ENVO_01001177,,,"Land which is regularly manipulated by human activities, such as plowing or tilling, in order to grow crops.","Consider moving axioms to the quality 'arable' directly. The discontinuous quality on tillage can likely be improved or refined. Also, add axioms for ploughing once it is added to AgrO: https://github.com/AgriculturalSemantics/agro/issues/34",,,,,,,arable land,ENVO_01001785
ENVO_01001178,,,Land which hosts a community of herbaceous plants - such as grasses and forbs - upon which animals may graze.,See this issue for requests regarding surrounding semantics of grazing: https://github.com/AgriculturalSemantics/agro/issues/32,,,,,,,pasturable land,ENVO_01001785
ENVO_01001179,,,An environmental system determined by a cnidarian or part of a cnidarian.,,,,,,,envoMeo,cnidarian-associated environment,ENVO_01001002
ENVO_01001180,,,An environment which has its properties and composition determined by a portion of Bondon cheese.,"This class was cross-axiomatised with FOODON, but recent changes in FOODON's alignment (e.g. Bondon cheese as a subclass of an information artifact) have caused reasoning errors. We await FOODON to stabilise these semantics before attempting a reimport and will work with them to this end.",,,,,,envoMeo,Bondon cheese environment,ENVO_01000254
ENVO_01001181,,,"A surface layer which is composed of the external surface of a root, together with closely adhering soil particles and debris",,,,,,,,rhizoplane,ENVO_01001311
ENVO_01001182,,,Pasturable land which is maintained by human activities in order to provide grazing oppoturnities for livestock.,,,,,,,,tended pasturable land,ENVO_01001178
ENVO_01001183,,"This class does not refer to the land that is potenitally cultivable, only referencing land that is being managed for cultivation. This class has been created to support the FAO definition of arable lands in FAOSTAT.","Land which either hosts plant communities upon which animals may graze has been manipulated by tilling, ploughing, or other human activity for the purposes of seed sowing or planting crops.","Add semantics to support ""land under market and kitchen gardens and land temporarily fallow (less than five years). The abandoned land resulting from shifting cultivation is not included in this category.""",,,,,,,arable or pasturable land,ENVO_01001785
ENVO_01001191,,,The surface layer of a volume of water.,,,"surface of a body of water, water body surface",,,,,water surface,"ENVO_01000325, ENVO_01001310"
ENVO_01001192,,,The surface layer of a mass of sediment.,,,"surface of a sedimentary mass, surface sediment",,,,,sediment surface,ENVO_00010504
ENVO_01001193,,This includes the surface layers of all volumes of water exposed to space or the planet's atmosphere.,,,,,,A liquid planetary surface which is composed primarily of water.,,,water-based planetary surface,"ENVO_01000325, ENVO_01001477, ENVO_01000636, ENVO_01001310"
ENVO_01001199,,,An environmental zone which is bounded by material parts of a land mass or the atmosphere or space adjacent to it.,,,,,,,,terrestrial environmental zone,"ENVO_01000813, ENVO_01000408"
ENVO_01001200,,,"A terrestrial zone which is bounded by constructed, manufactured, or other anthropogenic material entities.",,,,,,,,anthropised terrestrial environmental zone,ENVO_01001199
ENVO_01001201,,"This class will eventually be populated by inference alone, with its subclasses distributed in more process-linked hierarchies to improve semantic density.",An astronomical body part which is part of a marine environment.,,,,,,,,marine environmental zone,ENVO_01000813
ENVO_01001206,,,An ecosystem in which grasses (Graminae) are the dominant form of vegetation and determine the system's structure and dynamics.,,,"grassland, GRASSLAND",,"grazing area, herbaceous area, glade, Grassland, down, downland, downs",,,grassland ecosystem,ENVO_01001790
ENVO_01001207,,,An area of land used for the herding and grazing of livestock.,,,,,ranch,,,ranch,"ENVO_01000813, ENVO_00000078"
ENVO_01001208,,,An area of wetland which overlaps a swamp ecosystem.,,,,,,,,swamp area,ENVO_00000043
ENVO_01001209,,,"A terrestrial ecosystem which is inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal circumstances does support, a prevalence of vegetation typically adapted for life in saturated soil conditions.",,,"WETLAND, Wetland","marsh, quagmire, bog, mire, peatland, peat cutting area, mud flat, cienaga, slough, backwater, blanket bog, swamp forest, EstuarineWetland, LacustrineWetland, MarineWetland, PalustrineWetland, RiparianWetland, TerrestialWetland, back marsh, backswamp, barrier flat, dismal, everglade, floating marsh, forested wetland, quaking bog, riparian area, slash, slue, tulelands","morass, muskeg, moor",,,wetland ecosystem,ENVO_01001110
ENVO_01001221,,"""An office building will be divided into sections for different companies or may be dedicated to one company. In either case, each company will typically have a reception area, one or several meeting rooms, singular or open-plan offices, as well as toilets.""",A commercial building which contains parts used as workplaces primarily for administrative and managerial workers.,,,,,,,,office building,ENVO_01001222
ENVO_01001222,,"""Commerce includes legal, economic, political, social, cultural and technological systems that are in operation in any country or internationally.""",A building which is primarily used to facilitate the buying or selling of goods or services.,,,,,,,,commercial building,ENVO_00000073
ENVO_01001224,,,A building part within which administrative work is done by an organisations users in order to support and realise the objectives of that organization.,,,,,,,,office,ENVO_01000420
ENVO_01001225,,"Note that this ENVO class is not authoritative: see the associated IUCN references for a complete definition of all Protected Areas.  Note, that the IUCN recommends that a proportion of the area is retained in a natural condition (e.g. a no-take management zone). As this is a recommendation rather than a rule, this ENVO class does not include IUCN categories with strict conservation regimes as necessary parts. An emphasis is placed on the integration of  cultural approaches, belief systems and world-views possessed by human populations in and around the protected area into the conservation approaches used. Further, these areas host activities which facilitate scientific research, environmental monitoring, recreation, and ""appropriate"" small-scale tourism.","An IUCN protected area within which 1) natural ecosystems and their resources are either conserved or used through non-industrial human activities, 2) usage activites contribute to conservation goals, ensuring inter-generational security for local communities' livelihoods, and 3) the majority of benefits derived from the use of ecosystems are received by communities living near or in the area.",,protected area with sustainable use of natural resources,,,,,,IUCN protected area with sustainable use of natural resources,ENVO_01001169
ENVO_01001226,,,A natural environment which is located on a land mass.,,,,,,,,terrestrial natural environment,"ENVO_01000813, ENVO_01000951"
ENVO_01001227,,,A natural environment which is within a water body.,,,,,,,,aquatic natural environment,"ENVO_01000813, ENVO_01000951"
ENVO_01001239,,,,,,,,,,,forest canopy,"ENVO_01000813, ENVO_01001242"
ENVO_01001240,,,A canopy which is part of a woodland ecosystem.,,,,,,,,woodland canopy,"ENVO_01000813, ENVO_01001242"
ENVO_01001241,,,"A canopy which is composed of the aboveground portion, or crowns, of a community of crop plants.",,,,,,,,crop canopy,"ENVO_01000813, ENVO_01001242"
ENVO_01001242,,false,"A vegetation layer which is formed by a collection of individual plant crowns, themselves constituting part of the aboveground portion of a plant community.",,,,,,,,canopy,ENVO_01000355
ENVO_01001243,,"The definitions of forest can vary greatly, and different classes will be needed to support the major categories. Tree cover alone is not enough to distinguish between forests and plantations. The international definition proposed by the 2010 FAO Forestry Resource Assessment: ""land spanning more than 0.5 ha with trees higher than 5 metres and canopy cover of more than 10 percent, or trees able to reach these thresholds in situ . It does not include land that is predominantly under agricultural or urban land use."" - FAO.  2010. Global forest resources assessment 2010, Main report, FAO Forestry Paper 163. Rome.",An ecosystem which is determined by communities of plants with a tree growth form and in which members of those communities form continuous or discontinuous regions of canopy cover.,The correct usage of FLOPO terms in the axiomatisation needs to be confirmed.,,,,,,,forest ecosystem,ENVO_01001790
ENVO_01001244,,,"An ecosystem which 1) is determined by communities of annual crops, perennial woody crops, or by actively tilled land, 2) is primarily used for agricultural activity, and 3) contains no village or larger human settlement.",,,,,,,,cropland ecosystem,"ENVO_01001828, ENVO_01001790"
ENVO_01001245,,"Woodland understories are often populated with communities of shrubs and herbaceous plants including grasses. There are varying distinctions between woodland and forest, with a large degree of ambiguity.",An ecosystem which is determined by communities of plants with a tree growth form and in which members of those communities are spaced sufficiently far apart to allow sunlight to illuminate the understory.,The correct usage of FLOPO terms in the axiomatisation needs to be confirmed.,,,,,,,woodland ecosystem,ENVO_01001790
ENVO_01001256,,"""Shrimp"" is a common language term that may refer to multiple crustacean species, typically in the groups Caridea or Dendrobranchiatamarine. These may be marine or freshwater organisms.",A shrimp pond which is embedded in a coastal water body.,,,,,,,,coastal shrimp pond,"ENVO_01001308, ENVO_01000905"
ENVO_01001263,,,A site which has been designated as a place where humans may defecate.,,defecation area,,,,,,area designated for human defecation,ENVO_01003020
ENVO_01001264,,,A site which has been designated for the storage of waste material.,,,,,"waste disposal site, waste storage site",,,area designated for waste storage,ENVO_01003020
ENVO_01001269,,,"An area of a planet's surface which is primarily covered by constructed or manufactured objects and materials, possibly interspersed with cultivated or anthropically maintained vegetation.",,,,,,,,area of developed space,ENVO_01001200
ENVO_01001271,,,A surface layer through which liquids or gases cannot pass.,,,,,,,,impermeable surface layer,ENVO_01001311
ENVO_01001272,,,A construction which comprises a durable surface layer overlying a solid surface intended to sustain vehicular or foot traffic.,,,,,,,,constructed pavement,ENVO_00000010
ENVO_01001273,,,A layer which is primarily composed of some liquid material.,,,,,,,,liquid layer,ENVO_01001678
ENVO_01001274,,"Isosurfaces are not equivalent to a ""surface layer"" in the sense of overlapping an external boundary. Further, this class is concerned only with material isosurfaces, not with mathematical abstractions.","A layer throughout which one or more qualities (e.g. pressure, temperature, velocity, density) maintain an approximately constant value.",,,,,,,,material isosurface,ENVO_01000281
ENVO_01001275,,,"A layer which is primarily composed of some solid material, allowing for non-solid parts such as interstitial pockets of gas or liquid.",,,,,,,,solid layer,ENVO_01000281
ENVO_01001276,,,A solid layer which is primarily composed of some water-based ice.,,,,,,,,water ice layer,"ENVO_03000110, ENVO_01001275, ENVO_01001609"
ENVO_01001277,,,A road which is primarily composed of asphalt.,,,,,,,,asphalt road,"ENVO_00000064, ENVO_01001477"
ENVO_01001278,,,A road which is primarily composed of concrete.,,,,,,,,concrete road,ENVO_00000064
ENVO_01001279,,"""In some places, the same term may also be used for a paved path, trail or footpath that is not next to a road, for example, a path through a park.""",A constructed pavement which is built on the side of a road and intended for foot traffic.,,pavement,,,"footpath, footway",,,sidewalk,ENVO_01001272
ENVO_01001280,,,"A road which is used for local access to one or more structures, and is privately owned and maintained by an individual or group.",,,,,,,,driveway,ENVO_00000064
ENVO_01001281,,,A constructed pavement which is used for parking vehicles.,,,,,"car lot, car park, parking lot",,,paved parking lot,ENVO_01001272
ENVO_01001293,,"""Bush"" is a rather loosely defined regional term, primarily used in Australia.","A vegetated area which has not been cleared or is sparsely settled, usually scrub-covered or forested",,,,,the bush,,,bush area,ENVO_01001305
ENVO_01001299,,,An environmental zone which is part of an atmosphere.,,,atmospheric area,,,,,atmospheric zone,ENVO_01000408
ENVO_01001300,,Air is not specified directly (although the definition subsumes air masses) to allow for other forms of low pressure areas in planetary atmospheres.,A gaseous part of an atmosphere in which gases have reduced atmospheric pressure.,,,,,,,,area of low atmospheric pressure,ENVO_01001645
ENVO_01001301,,,A layer of liquid that is part of an estuary.,,,,,,,"envoMarine, envoPolar",aquatic estuarine layer,"ENVO_01001308, ENVO_01000325"
ENVO_01001302,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.,,,,,,,"envoCmecs, envoMarine",estuarine coastal surface layer,"ENVO_01001309, ENVO_01001483, ENVO_01001301"
ENVO_01001304,,,"An oasis is a vegetated area located in a desert, supplied with water from a water source which it surrounds, and surrounded by arid soil, sand, or rock.",,,,,cienaga,,,oasis,ENVO_01001305
ENVO_01001305,,,A vegetated area is a geographic feature which has ground cover dominated by plant communities.,,,,,,,envoPolar,vegetated area,ENVO_01001199
ENVO_01001306,,,An environment which is determined by a bone element.,,,,,,,envoMeo,bone element environment,ENVO_2100000
ENVO_01001308,,"Similar, in spirit, to landform.",A liquid astronomical body part which is primarily composed of a continuous volume of liquid water and is held in shape or sustained by an environmental process.,"Should create links to envrionmental process with new relation like ""sustained_by""",,,,,,,hydroform,ENVO_01001477
ENVO_01001309,,,A liquid surface layer which is in contact with air.,,,,,,,,liquid air-water interface layer,ENVO_01001310
ENVO_01001310,,,A surface layer which is composed primarily of some liquid.,,,,,,,,liquid surface layer,"ENVO_01001273, ENVO_01001677, ENVO_01001673"
ENVO_01001311,,,A surface layer which is composed primarily of solid environmental material.,,,,,,,,solid surface layer,"ENVO_00010504, ENVO_01001275"
ENVO_01001312,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.,"""Mid-depth"", present in many CMECS classes, is ambiguous and needs refinement.",,,,,,"envoCmecs, envoMarine",estuarine coastal upper water column,"ENVO_01001309, ENVO_01001483, ENVO_01001301"
ENVO_01001313,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.","A pycnocline which is part of an estuarine water body, spanning from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.",,,,,,,"envoCmecs, envoMarine",estuarine coastal pycnocline,"ENVO_01000259, ENVO_01001301"
